,seq,name,content,class
10,10,ابراهيم حبش ,هو ابراهيم ياسين جاسم محمد حبش انهى الدراسة الابتدائية في المدرسة القحطانية 1934 وانهى المتوسطة 1935 بامتحان خارجي وانهى الاعدادية سنة1936 لان نظام التسريع كان مطبقاً وقدم الى الكلية الطبية وعمره 14 سنة فلم يقبل وكبر عمره في المحكمة وجعل تولده 6/7/1918. ودخل الكلية الطبية ببغداد عام 1936 وتخرج فيها عام 1942 بشهادة  MBchB وهو اصغر طبيب وعمره عشرون سنة. 1942-1959 طبيب عسكري في مستشفى الموصل العسكري الى 1946. وآمر وحدة الميدان الطبية السادسة الى 1949 وآمر مستشفى الموصل العسكري الى 1952 وآمر وحدة الميدان الطبية الثامنة في المسيب الى 1953 وآمر مستشفى الديوانية العسكري الى 1957 ومعاون الامور الطبية للفرقة الاولى 1959 وتقاعد من الجيش عام 1959 ورئيس صحة لواء الموصل 1964–1968 ثم تفرغ لعيادته الخاصة في شارع نينوى بالموصل. انشأ مصرف الدم، مركز العلاج الطبيعي، جهاز اشعة لفحص المصدر.,0
11,11,ابراهيم حسن ناصر ,ولد في قرية (اسديرة) من لواء الموصل واتم تعليمه الاولي بين سديرة والشرقاط. دخل جامعة بغداد وحصل على البكالوريوس فيها عام 1984 ثم انتسب الى كلية ضباط الاحتياط وعمل ضابطاً في الجيش وقتل في الحرب العراقية الايرانية. مولع بالادب صدرت له رواية (شواطيء الدم شواطي الملح) وفازت بجائزة عام 1988 وله اعمال شعرية ومقالات ادبية في الدوريات العراقية.,0
12,12,إبراهيم حسيب المفتي ,الولادة 1908موصل. خريج كلية دار المعلمين العالية ذات السنتين عين مدرساً في ثانوية الموصل في 1/10/1930 ثم مدرساً في متوسطة الموصل سنة 1933فمدرساً في المتوسطة الشرقية في الموصل 1936 ثم مديراً للمتوسطة الغربية 1943 ثم نقل مديراً لمعارف لواء المنتفك سنة 1947 فمديراً لمعارف لواء الحلة 1949 ثم مديراً لمعارف لواء الموصل في 27/3/1950، نقل مفتشاً في معارف لواء بغداد 28/3/1953 ثم مديراً لمعارف لواء ديالى في 28/9/1953 ثم مديراً لمعارف لواء الحلة في 5/9/1954 نقل مفتشاً اختصاصياً في وزارة المعارف سنة 9/11/1957 ثم أحيل إلى التقاعد في 1/7/1967.,0
13,13,ابراهيم حنوش غزالة ,دار المعلمين العالية 1943 مدرس الرياضيات والفيزياء في الاعدادية وانتقل الى الثانوية الشرقية 1954.,0
14,14,ابراهيم خليل العلاف ,دخل الكتّاب وتعلم قراءة القرآن، بدأ الدراسة في مدرسة ابي تمام الابتدائية وانتقل الى المتوسطة المركزية فالاعدادية الشرقية والتحق بكلية التربية في بغداد عام 1964 وعين عام 1969 مدرساً للتاريخ في متوسطة فتح في الشورة واصبح مديراً لها واكمل دراسته العليا في كلية الآداب جامعة بغداد وحصل على الماجستير عام 1975 عن رسالته (ولاية الموصل: دراسة في تطوراتها السياسية 1908-1922) باشراف الدكتور عبد القادر احمد اليوسف وحصل على الدكتوراه عام 1980 عن رسالته (تطور التعليم الوطني في العراق 1914-1932) باشراف الدكتور فاضل حسين، وعين تدريسياً في كلية الاداب/ جامعة الموصل. ونقل الى كلية التربية رئيساً لقسم التاريخ بين سنتي 1980-1995 ونال لقب الاستاذية عام 1991.  اسهم في تأسيس مركز الدراسات التركية (الاقليمية) بجامعة الموصل عام 1985 وتولى ادارته مرتين 1986 و 1988 و 1995-2003. ومنذ تشرين الثاني 2006 عاد الى ادارة المركز ولا يزال حتى كتابة هذه السطور.و اصبح عضواً في مجلس جامعة الموصل ممثلاً للاساتذة 1995-1997. ورأس تحرير مجلة (اوراق تركية معاصرة) وعضواً في مجلة (اوراق موصلية) و (اداب الرافدين) و (التربية والعلم). وعضواً في هيئة تحرير (موسوعة الموصل الحضارية) 1992 واشرف على الجزئين الرابع والخامس منها وكتب فيها سبعة بحوث. وعمل في عدة لجان جامعية.منح وسام المؤرخ العربي من اتحاد المؤرخين العرب في 15 تموز 1986 تقديراً لجهوده في خدمة التاريخ العربي المعاصر. كما حصل على امتياز رعاية الملاكات العلمية للسنتين الدراسيتين 1999-2000 و 2001-2002، وحصل على اكثر من جائزة تكريمية، وشهادة تقديرية من جهات عديدة لجهوده في النشر العلمي وخدمة الوطن في مجال التاريخ. وقد شارك في ندوات ومؤتمرات علمية داخل العراق وخارجه، كما حرر في موسوعات عديدة منها الموسوعة الصحفية العربية، وموسوعة التربية الاسلامية، التي يصدرها المجمع الملكي لبحوث الحضارة الاسلامية التابع لمؤسسة آل البيت، المملكة الاردنية الهاشمية.اشرف على قرابة (30) رسالة ماجستير واطروحة دكتوراه، كما ناقش المئات منها وفي مختلف اقسام التاريخ في الجامعات العراقية. وشغل عضوية اللجنة الاستشارية لبيت الحكمة في نينوى، وعضوية اللجنة الاستشارية للثقافة والفنون في الموصل، واصبح رئيساً لجمعية المؤرخين والآثاريين العراقيين-فرع نينوى، لسنوات، فضلاً عن عضويته في اتحاد المؤرخين العرب، ونقابة المعلمين، واتحاد الادباء والكتاب في العراق.الف قرابة (35) كتاباً لوحده وبالاشتراك مع عدد من زملائه، ومن كتبه المنشورة: 1-نشأة الصحافة العربية في الموصل، 1981. 2-تطور التعليم الوطني في العراق، 1982. 3-تاريخ الوطن العربي في العهد العثماني (1516-1916)، 1983. 4-تاريخ الوطن العربي الحديث والمعاصر، 1987. 5-تاريخ الفكر القومي العربي، 2001. 6-نشأة الصحافة في الموصل وتطورها (1885-1985)، 1985. 7-خارطة التوجهات الاسلامية في تركيا المعاصرة، 2005. 8-قضايا عربية معاصرة، 1988 بالاشتراك. 9-تاريخ العراق المعاصر، 1989 بالاشتراك مع الدكتور جعفر عباس حميدي. 10-ايران وتركيا: دراسة في التاريخ الحديث والمعاصر، 1992بالاشتراك مع الدكتور خليل علي مراد. 11-دراسات في تاريخ الخليج العربي والجزيرة العربية، 1986. 12-مشكلة المياه والموارد المالية في الشرق الاوسط، 2005. 13-خارطة التوجهات الاسلامية في تركيا المعاصرة، 2005. 14-دراسات في فلسفة التاريخ، 1988 بالاشتراك. 15-محافظة نينوى بين الماضي والحاضر، 1987 بالاشتراك. 16-تاريخ العالم الثالث الحديث، 1989 بالاشتراك مع الدكتور عوني عبد الرحمن السبعاوي. 17-جمهوريات آسيا الوسطى وقفقاسيا، 1993 بالاشتراك. 18-سياسة تركيا الخارجية تجاه الوطن العربي، 1998 بالاشتراك. 19-المذكرات الشخصية مصدراً لكتابة التاريخ، 2001 بالاشتراك. 20-العراق وتحديات القرن الحادي والعشرين، 2001 بالاشتراك. 21-المفصل في تاريخ العراق المعاصر، 2002 بالاشتراك. 22-العلاقات العراقية-التركية وسبل تطورها، 1999 بالاشتراك. 23-القضية الكردية في تركيا، 1994 بالاشتراك. 24-اوراق تاريخية موصلية، 2006.كما اسهم في تأليف بعض الكتب المنهجية الدراسية في المدارس المتوسطة والاعدادية منها: 1-التاريخ الحديث والمعاصر، للصف الثالث المتوسط، 1990. 2-التاريخ الحديث والمعاصر للوطن العربي، للصف السادس الاعدادي الادبي، 1980.وقد كتب بحوثاً ودراسات اكاديمية وصل عددها الى قرابة (125) بحثاً ودراسة منشورة في مجلات موصلية وعراقية وعربية. هذا فضلاً عن (500) مقالة صحفية. وقد حضر قرابة (100) ندوة ومؤتمر علمي داخل العراق وخارجه كان آخرها ندوة (العراق ودول الجوار) رؤى متبادلة التي نظمها مركز الخليج للأبحاث بدبي بدولة الامارات العربية المتحدة بين 30 و 31 آذار/ مارس 2005.,0
15,15,ابراهيم سليمان نادر,ولد في الموصل. نشرت قصصه ومقالاته في اغلب الصحف العراقية والعربية وفازت قصته (اصداء الوجه الاخر) بالجائزة الثالثة لأدب الحرب في مجلة حراس الوطن عام 1988.صدرت له المؤلفات الاتية:-  (في الغسق عادت عروس البحر) مجموعة مشتركة عن دار الشؤون الثقافية/بغداد/1988.(قصص تحت لهيب النار) الجزء العاشر/مجموعة مشتركة عن دار الشؤون الثقافية العامة/بغداد/1990  (عيسى برواري الفنان والانسان) عن دار الثقافة والنشر/بغداد/1993.(الكلب هذا الكائن العجيب) عن دار الثقافة للطباعة والنشر والتوزيع/الدوحة/قطر/1998.(قصص من نينوى) مجموعة قصص مشتركة/الجزء الاول/1999 –الجزء الثاني/2000 –الجزء الثالث/2001 –الجزء الرابع2002 –الجزء الخامس 2003.(امير الطيور) عن دار الثقافة للطباعة والنشر والتوزيع/الدوحة /قطر/2001.(عودة الرجل السابع) مجموعة قصصية عن دار الشؤون الثقافية العامة/وزارة الثقافة/بغداد/2002.(نصف نافذة تكفي) مجموعة قصصية عن دار الشؤون الثقافية العامة/وزارة الثقافة/بغداد/2003(الطحالب)مجموعة قصصية عن الاتحاد العام للادباء والكتاب العرب/دمشق/سوريا/2004.,0
16,16,ابراهيم سيد حسين ,الموصل كلية الشريعة بغداد 1955 عين في السنة نفسها مدرساً للعربية وتنقل في عدة مدارس منها ام الربيعين 1961.,0
17,17,إبراهيم صلاوي ,ولد في الموصل 1950 في باب لكش. التخصص الرياضي: بناء الأجسام، كان للبيئة الشعبية أثرها في الرياضة الرشاقة والجمال من خلال تواجد منطقة سكناه قريباً من موقع سينما (الفردوس) التي كانت تعرض أفلاماً من بطولات نجوم الرياضة حينها (كمارك فورست وستيفن ريفز) حيث تأثر بهؤلاء النجوم وعكف على أن يحذو حذوهم وكان للمرحوم الأستاذ (سليمان همندي) الأثر الكبير في تشجيعه فكان يتدرب في الجرادغ المنتشرة على ضفاف دجلة وبالأخص (جردغ الحياة) حيث توجد هناك لوازم التدريب البدائية (دمبلصات وعتلات) فكان يستعملها لتنمية وتقوية أجسادهم وكان ذلك عام 1969وكان من بين الذين يتدربون معهم المرحوم رفعت سلطان لاعب السلة المعروف فيما بعد . جرت بطولة المحافظة عام 1975 وحصل على المركز الأول وكأساً فخرياً لجميع الفئات وكان من بين المشاركين كل من (احمد يونس داؤد) المعروف بأحمد أبو الكاز وإدريس حكمت وأحمد يونس العبيدي وهاشم الصباغ وغيرهم) وفي بطولة الجمهورية عام 1976حصل على المركز الخامس على عموم العراق ونافس فيها البطل العراقي المعروف (عباس الهنداوي) علماً أنه شارك بأصبع مصاب كذلك في تصفيات القطر للمشاركة ببطولة آسيا فأحدث ضجة رياضية بحصوله على المركز الثاني بعد طالب شهاب وبعد مباراة خماسية معه وحصل على المركز الأول في بطولة المحافظة للقاعات المغلقة وحصل عام 1983على بطولة القطر المفتوحة بمنافسة كل من الأبطال شاكر إبراهيم من بغداد ومحمود من ديالى ثم كان الاعتزال عام 1983.ساهم في تخريج وصقل الكثير من المواهب التي شقت طريقها في طريق النجومية فيما بعد كمحمد ذنون الملقب أبو اذن ومهند غازي وعمار عبد النافع والمرحوم احمد أبو شيبة.,0
18,18,ابراهيم عبد العزيز بيثون ,ولد في الموصل عام1910 وانهى فيها دراسته الابتدائية والثانوية فيها ودرس المحاسبة والاقتصاد في الجامعة الاميركية واشتغل في المحاسبة وادارة الاعمال وله مؤلفات في هذا المجال: 1-علم الاقتصاد واقتصاد واقتصاديات العراق 1939 2-مبادئ علم الاقتصاد جـ1 1948 جـ2 3-محاسبة الشركات 1949 4-البلانجو وامساك الدفاتر بالطريقة العراقية 1951 5-المحاسبة وامساك الدفاتر1958.,0
19,19,إبراهيم عبو ,ولد بالموصل، مارس الفن منذ الطفولة بمعية اثنين من اخوته الفنان فرج عبو في الرسم ونجم في النحت الفطري على الخشب ووجد تشجيعاً للاستمرار. 1956 شارك بمعرض نادي المنصور. 1957تخرج الأول على القسم المسائي بمعهد الفنون الجميلة/ بغداد. 1958 معرض المنصور للرسم والنحت. 1962درجة الشرف في زمالة لدراسة الفرسكو بايطاليا على جوزبي جوتي والرسم باكاديمية الفنون بأشراف أمريكو بارتولي. ساهم بمعارض محلية واخرى دولية وخاصة ايطاليا ينحو باعماله باتجاه الواقعية الحديثة وبتأثير بيئتنا وفنوننا التشكيلية القديمة وتوحي أعماله بالدقة وقوة اللون عرف بحبه لرسم اللوحات الصغيرة.  ,0
20,20,ابراهيم عرفات ,طبيب اسنان عام 1973، ودبلوم اسنان 1975.,1
21,21,إبراهيم علي النجفي ,ولد في الموصل 1923، خريج علوم أدبية وتجارية.الكلية أو المعهد وسنة التخرج:دار المعلمين الابتدائية-القسم العالي1943، كلية التجارة والاقتصاد1944الاختصاص:اقتصاد ومحاسبةالوظائف التي أشغلها:  1-معلم مدرسة القحطانية للبنين ، 2-معلم مدرسة العدنانية للبنين، 3-مدرس إعدادية التجارة، 4-معاون متوسطة الكفاح للبنين ، 5-مدير متوسطة الكفاح للبنين.,0
22,22,ابراهيم عمر كشمولة ,ولد في الموصل وتلقى فيها علومه الاولية ودخل الكلية الطبية عام 1938 وتخرج عام 1947. وبعد تخرجه انصرف الى العمل الاداري فكان طبيب صحة الموصل ورئيساً لمديريتها. وانتخب نائباً في آواخر العهد الملكي وعاد مديراً للصحة بعد ثورة 14 تموز /1958 وفصل منها بعد حركة الشواف عام 1959 ثم عاد عميدا للمعاهد الصحية العالية في وزارة الصحة وبعد احالته للتقاعد عمل رئيسا لقسم التفتيش والانضباط في نقابة الاطباء.,0
23,23,ابراهيم غـزالة ,ولد بالموصل عام 1921 وتلقى علومه الأولية فيها ودخل دار المعلمين العالية قسم الرياضيات وتخرج فيها عام 1943 وعيّن في المتوسطة الشرقية مدرساً للفيزياء وظهرت كفاءته في عقد الخمسينات عندما تحولت المدرسة الى اعدادية وكان شاباً طموحاً وبعد أحداث الشواف في الموصل عام 1959 ما تلاها من اغتيالات انتقل الى بغداد وحصل على اجازة دراسية ونال شهادة الماجستير في الفيزياء وانتقل الى كلية التربية في جامعة بغداد للتدريس فيها حتى أحيل على التقاعد.,1
24,24,ابراهيم فاضل المشهداني ,ولد في الموصل، وقرأ في طفولته عند الكتاتيب جزء عّم ودرس الحروف العربية والقراءة والكتابة وأخذ رواية حفص عن عاصم عند الملا اسماعيل الهندي في جامع المشاهدة مع قواعد التجويد (هداية المستفيد) وقرأ ما يقارب نصف القرآن عند الشيخ صالح أفندي الجوادي ودرس عنه القراءات السبع والقواعد المقررة والفوائد المحررة للامام البقري المتوفي عام 1111هـ.وبدأ يأبى عمرو بن العلاء البصري. وقرأ مذهب نافع المدني. ثم قرأ جمعاً للشيوخ الثلاثة نافع براوييه والمكي براوييه والبصري براوييه ويسمى هذا الجمع الصغير من اول القرآن الى سورة النساءوبعد وفاة صالح أفندي الجوادي الذي قرأ عليه انتقل الى الشيخ عبد الفتاح الجومرد وبعد ان اختبره طلب اليه العودة الى الجمع الصغير من اول القرآن الى آخر سورة النساء، وكما جرت العادة مع الشيوخ، رمز لهم الامام الشاطبي والجامع الصغير (البقرة وآل عمران والنساء) ثم افرد للأمام ابن عامر الشامي براوويه هشام وابن ذكوان،لكل واحد منهما جزء، مع جمع الجزء الأول للراويين هشام وابن ذكوان. ثم قرأ الامام عاصم في كتاب القواعد المقررة للبقري.وقرأ القواعد لحمزة براوييه وقرأ القواعد للكسائي.وبعد ان افرد للرواة وجمع لكل امام براوييه بدأ بالجمع الكبير من اول القرآن الى آخر سورة الناس مع أوجه التكبير من سورة الضحى الى سورة الناس ختمة كاملة.وارخ حسين الفخري اجازته 1396هـ/1976م.قالقلت ذاكم أرخوا فضـل لهم ان ابـراهيم اواه حلـيموتاريخ اجازة الشيخ عبد الفتاح الجومرد(موئل القراء)في القراءات السبع مطلعها:موئل القراء ذو الحظ العظيم بـارك الله له وهو الكريموأجاز الشيخ ابراهيم المشهداني ثمانية طلاب منهم ولده محمد بالقراءات السبع اما الذين درسوا عنده رواية حفص فلا يعرف عددهم فهم من بعقوبة وبغداد وفلسطين .,0
25,25,ابراهيم كشمولة ,تخرج من طب بغداد 1944. رئيس صحة الموصل 1952-1953.,0
26,26,ابراهيم كمال ,ولد في الموصل وينتسب الى اسرة موصلية عريقة دخل الجيش واسهم في القضية العربية والنهضة العربية وانتخب نائباً في مجلس النواب وكان احد اعضاء حزب الشعب ثم عين سكرتيراً دائماً لوزارة المالية فمديراً عاماً للمالية. اول عراقي يعين مديراً عاماً للكمارك والمكوس في اواسط الثلاثينات ينتمي الى اسرة موصلية ويعد من رجالات اليقظة الفكرية وله فيها احاديث ومناقشات اشترك في تأسيس حزب الشعب تقلد مناصب مرموقة في وزارة المالية،عين وزيراً للمالية عام1937وزيراً للعدلية، انتمى الى الجيش وساهم في القضية العربية.  كتبه:-1-الديمقراطية والعرب . 2- في اعلام العراق.,0
27,27,ابراهيم محل حمادي البدراني ,ولد في ناحية المحلبية من لواء الموصل كلية الاداب جامعة الموصل 1969-1970 اللغة العربية عين في 16/12/1970 عمل مدرساً وأصبح مديراً لاعدادية المستقبل والاعدادية الغربية.,0
28,28,ابراهيم محمد حسون القصاب,ولد في لواء الموصل وتلقى علومه الاولية فيه ثم دخل كلية الآداب في جامعة بغداد قسم الجغرافيا وحصل على البكالوريوس عام 1971 وسافر الى فرنسا وحصل على المتريز من جامعة باريس عام 1973 عن رسالته (قريه دركار عجم) وحصل على الدكتوراه من جامعة باريس عام 1975 عن رسالته (زراعة القمح في محافظتي نينوى ودهوك) وعين في قسم الجغرافيا في كلية الآداب ثم انتقل الى كلية التربية بعد انتقال قسم الجغرافيا اليها واصبح رئيساً للقسم. ومن دوراته التدريبية دورة على استخدام لغة فورتران وشارك في مشروع تنقية قضاء عقرة وانشأ مرسماً خاصاً بالخرائط. اشرف على الدراسات العليا ونشر عدداً من البحوث العلمية في الدوريات الاكاديمية.,0
29,29,ابراهيم محمد محمود مصطفى الحمداني ,ولد في الموصل 10/5/1966. وحصل على بكالوريوس عام1989 وتم تعيينه في نفس العام. وحصل على الماجستير في النقد العربي القديم عام 1996 في كلية التربية قسم اللغة العربية، وحصل على الدكتوراه في النقد العربي القديم عام 1999، و حصل على لقب أستاذ مساعد 2003.المناصب الادارية التي شغلها:1-مقرر قسم اللغة العربية، 2-نشر عشرة بحوث في مجلات موثقة وله مقالات في الصحف والمجلات واصدر كتاب منهجي (محاضرات في البلاغة العربية، علم المعاني 2005) وشارك في كتاب (الشعر في الموصل) مشترك صدر عن مركز دراسات الموصل 2001 وحضر عدد من الندوات.,0
