,seq,name,name2,content,isconfirmed,class
13,13,ابراهيم الجلبي ,المحامي سعدالدين زياده,خاض غمار الصحافه في الثلاثينات حيث تولى اداره العمال التي اصدر ها مع ,True,WORK
14,14,ابراهيم الجلبي ,المحامي ابراهيم وصفي رفيق,ها مع المحامي سعدالدين زياده و تولى اداره مجله المجله و تعرضت فتى العراق ل لتوقف ب سبب مساندت ها ل حركه مايس 1941 و سجن مسؤول ها القانوني ,True,WORK
15,15,ابراهيم الجلبي ,ابراهيم الجلبي ,لتوقف ب سبب مساندت ها ل حركه مايس 1941 و سجن مسؤول ها القانوني المحامي ابراهيم وصفي رفيق ثلاث سنوات و توقفت في انتفاضه بورتسموث عام 1947 و اصدر ,True,SAME PERSON
16,16,ابراهيم الجلبي ,محمد رؤوف الغلامي,و سجن مسؤول ها القانوني المحامي ابراهيم وصفي رفيق ثلاث سنوات و توقفت في انتفاضه بورتسموث عام 1947 و اصدر ابراهيم الجلبي جريده صدى الاحرار التي كان يصدر ها ,True,WORK
17,17,ابراهيم الجلبي ,رؤوف الشهواني,و كانت بديلا عن فتى العراق ثم عادت فتى العراق ل لصدور بعد سنه ثم مالبثت ان توقفت ف استعار جريده الذكرى ل صاحب ها ,True,WORK
18,18,ابراهيم الجلبي ,عبدالله سامي الدبوني,ثم حصل على امتياز صحيفه جديد ب اسم فتى العرب عام 1951 و بعد سنتين الفي امتياز ها ف انتقل الى اصدار مجله الثقافه ل ,True,WORK
19,19,ابراهيم بطرس ابراهيم ,ابراهيم بطرس ابراهيم ,nan,True,SAME PERSON
20,20,ابراهيم حبش ,ابراهيم حبش ,nan,True,SAME PERSON
21,21,ابراهيم خليل العلاف ,عبدالقادر احمد,دراست ه العليا في كليه الاداب جامعه بغداد و حصل على الماجستير عام 1975 عن رسالت ه ولايه الموصل : دراسه في تطورات ها السياسيه 1908-1922 ب اشراف الدكتور ,True,STUDY
22,22,ابراهيم خليل العلاف ,فاضل حسين,في تطورات ها السياسيه 1908-1922 ب اشراف الدكتور عبدالقادر احمد اليوسف و حصل على الدكتوراه عام 1980 عن رسالت ه تطور التعليم الوطني في العراق 1914-1932 ب اشراف الدكتور ,True,STUDY
23,23,ابراهيم خليل العلاف ,جعفر عباس,9- تاريخ العراق المعاصر  1989 ب الاشتراك مع الدكتور ,True,WORK
24,24,ابراهيم خليل العلاف ,خليل علي مراد,10- ايران و تركيا : دراسه في التاريخ الحديث و المعاصر  1992 ب الاشتراك مع الدكتور ,True,WORK
25,25,ابراهيم خليل العلاف ,عوني عبدالرحمن السبعاوي,16- تاريخ العالم الثالث الحديث  1989 ب الاشتراك مع الدكتور ,True,WORK
26,26,ابراهيم صلاوي ,رفعت سلطان,التدريب البدائيه دمبلصات و عتلات ف كان يستعمل ها ل تنميه و تقويه اجساد هم و كان ذلك عام 1969 و كان من بين الذين يتدربون مع هم المرحوم ,True,COMPANIONSHIP
27,27,ابراهيم صلاوي ,احمد يونس داؤد,جرت بطوله المحافظه عام 1975 و حصل على المركز الاول و كاسا فخريا ل جميع الفئات و كان من بين المشاركين كل من ,True,COMPANIONSHIP
28,28,ابراهيم صلاوي ,ادريس حكمت,المحافظه عام 1975 و حصل على المركز الاول و كاسا فخريا ل جميع الفئات و كان من بين المشاركين كل من احمد يونس داؤد المعروف ب احمد ابوالكاز و ,True,COMPANIONSHIP
29,29,ابراهيم صلاوي ,احمد يونس العبيدي,و حصل على المركز الاول و كاسا فخريا ل جميع الفئات و كان من بين المشاركين كل من احمد يونس داؤد المعروف ب احمد ابوالكاز و ادريس حكمت و ,True,COMPANIONSHIP
30,30,ابراهيم صلاوي ,هاشم الصباغ,الاول و كاسا فخريا ل جميع الفئات و كان من بين المشاركين كل من احمد يونس داؤد المعروف ب احمد ابوالكاز و ادريس حكمت و احمد يونس العبيدي و ,True,COMPANIONSHIP
31,31,ابراهيم صلاوي ,عباس الهنداوي,احمد يونس العبيدي و هاشم الصباغ و غير هم و في بطوله الجمهوريه عام 1976 حصل على المركز الخامس على عموم العراق و نافس في ها البطل العراقي المعروف ,True,COMPETITION
32,32,ابراهيم صلاوي ,شاكر ابراهيم,بعد مباراه خماسيه مع ه و حصل على المركز الاول في بطوله المحافظه ل لقاعات المغلقه و حصل عام 1983 على بطوله القطر المفتوحه ب منافسه كل من الابطال ,True,COMPETITION
33,33,ابراهيم صلاوي ,محمد ذنون,من بغداد و محمود من ديالى ثم كان الاعتزال عام 1983. ساهم في تخريج و صقل الكثير من المواهب التي شقت طريق ها في طريق النجوميه فيما بعد ك ,True,STUDY
34,34,ابراهيم صلاوي ,مهند غازي,ديالى ثم كان الاعتزال عام 1983. ساهم في تخريج و صقل الكثير من المواهب التي شقت طريق ها في طريق النجوميه فيما بعد ك محمد ذنون الملقب ابواذن و ,True,STUDY
35,35,ابراهيم صلاوي ,عمار عبدالنافع,الاعتزال عام 1983. ساهم في تخريج و صقل الكثير من المواهب التي شقت طريق ها في طريق النجوميه فيما بعد ك محمد ذنون الملقب ابواذن و مهند غازي و ,True,STUDY
36,36,ابراهيم عبو ,فرج عبو,ولد ب الموصل  مارس الفن منذ الطفوله ب معيه اثنين من اخوت ه الفنان ,True,FAMILY
37,37,ابراهيم فاضل المشهداني ,اسماعيل الهندي,ولد في الموصل  و قرا في طفولت ه عند الكتاتيب جزء عّم و درس الحروف العربيه و القراءه و الكتابه و اخذ روايه حفص عن عاصم عند الملا ,True,STUDY
38,38,ابراهيم فاضل المشهداني ,صالح افندي الجوادي,القراءه و الكتابه و اخذ روايه حفص عن عاصم عند الملا اسماعيل الهندي في جامع المشاهده مع قواعد التجويد هدايه المستفيد و قرا ما يقارب نصف القران عند الشيخ ,True,STUDY
39,39,ابراهيم فاضل المشهداني ,نافع المدني,و قرا مذهب ,True,MISC
40,40,ابراهيم فاضل المشهداني ,صالح افندي الجوادي,ثم قرا جمعا ل لشيوخ الثلاثه نافع براوييه و المكي براوييه و البصري براوييه و يسمى هذا الجمع الصغير من اول القران الى سوره النساءوبعد وفاه ,True,STUDY
41,41,ابراهيم فاضل المشهداني ,عبدالفتاح الجومرد,براوييه و المكي براوييه و البصري براوييه و يسمى هذا الجمع الصغير من اول القران الى سوره النساءوبعد وفاه صالح افندي الجوادي الذي قرا علي ه انتقل الى الشيخ ,True,STUDY
42,42,ابراهيم فاضل المشهداني ,عامر الشامي,سوره النساء  و ك ما جرت العاده مع الشيوخ  رمز ل هم الامام الشاطبي و الجامع الصغير البقره و ال عمران و النساء ثم افرد ل لامام ,True,MISC
43,43,ابراهيم فاضل المشهداني ,حسين الفخري,و ارخ ,True,MENTION
44,44,ابراهيم فاضل المشهداني ,عبدالفتاح الجومرد,قالقلت ذاكم ارخوا فضل ل هم ان ابراهيم اوا ه حليموتاريخ اجازه الشيخ ,True,STUDY
45,45,ابراهيم فاضل المشهداني ,ابراهيم فاضل المشهداني ,ان ابراهيم اوا ه حليموتاريخ اجازه الشيخ عبدالفتاح الجومرد موئل القراء في القراءات السبع مطلع ها : موئل القراء ذو الحظ العظيم باركالله ل ه و هو الكريمواجاز الشيخ ,True,SAME PERSON
46,46,ابراهيم وصفي رفيق,براق ابراهيم وصفي,الاحكام العدليه التي نقلت الى العربيه و انجب كل من فارس- مدعي عام ب الموصل و توفي شابا رحم هالله والقاضي- نائب رئيس محكمه استئناف الموصل حاليا و القاضي ,True,FAMILY
47,47,ابوبكر عبدالبر الموصلي,ابوبكر عبدالبر الموصلي,nan,True,SAME PERSON
48,48,اثناسيوس بهنام خليان ,افرام رحماني, درس في روما عام 1899 و في بيروت عام 1908 و رسم كاهنا و عاد الى الموصل و عين مشرفا على دير مار ب هنام الشهيد ب رعايه ,True,WORK
49,49,اثيل الجومرد,اثيل الجومرد,nan,True,SAME PERSON
50,50,احمد افندي الخياط,احمد افندي الخياط,nan,True,SAME PERSON
51,51,احمد الجوادي ,جميل المدفعي,العنصريه  كان يجيد الفارسيه و التركيه و هو شيخ قراء الموصل  قام ب التدريس في دار المعلمين ب الموصل العلوم الدينيه و اللغويه و درس علي ه ,True,STUDY
52,52,احمد الجوادي ,علي جودت الايوبي,التركيه و هو شيخ قراء الموصل  قام ب التدريس في دار المعلمين ب الموصل العلوم الدينيه و اللغويه و درس علي ه جميل المدفعي و مولود مخلص و ,True,STUDY
53,53,احمد الجوادي ,امجد العمري, قام ب التدريس في دار المعلمين ب الموصل العلوم الدينيه و اللغويه و درس علي ه جميل المدفعي و مولود مخلص و علي جودت الايوبي و ارشد و ,True,STUDY
54,54,احمد الجوادي ,خيرالدين العمري,التدريس في دار المعلمين ب الموصل العلوم الدينيه و اللغويه و درس علي ه جميل المدفعي و مولود مخلص و علي جودت الايوبي و ارشد و امجد العمري و ,True,STUDY
55,55,احمد الجوادي ,صالح الخطيب,درس في المدرسه الرشديه ب الموصل و واصل دراست ه في دار الملمين الابتدائيه ب الموصل ايضا و اتصل ب شيوخ كبار مثل الشيخ ,True,STUDY
56,56,احمد الجوادي ,محمد الرضواني,درس في المدرسه الرشديه ب الموصل و واصل دراست ه في دار الملمين الابتدائيه ب الموصل ايضا و اتصل ب شيوخ كبار مثل الشيخ صالح الخطيب و الشيخ ,True,STUDY
57,57,احمد الجوادي ,عبدالوهاب الجوادي,ب الموصل ايضا و اتصل ب شيوخ كبار مثل الشيخ صالح الخطيب و الشيخ محمد الرضواني و درس علي هما علوم الشريعه الاسلاميه و ل ازم والد ه الشيخ ,True,STUDY
58,58,احمد الجوادي ,يحيى لؤلؤه,محمد الرضواني و درس علي هما علوم الشريعه الاسلاميه و ل ازم والد ه الشيخ عبدالوهاب الجوادي و كانت من ه اجازت ه العلميه و درس القراءات السبع على ,True,STUDY
59,59,احمد الجوادي ,يحيى باشا الجليلي,و بعد تدريس ه في عده مدارس غير دار المعلمين مثل مدرستي ,True,MISC
60,60,احمد الجوادي ,نعمان باشا الجليلي,و بعد تدريس ه في عده مدارس غير دار المعلمين مثل مدرستي يحيى باشا الجليلي و ,True,MISC
61,61,احمد الحاج سعيد ,فيصل الثاني,منح نوط الحرب و النصر و نوط ,True,MISC
62,62,احمد الديوه جي ,عثمان الديوه جي,لازم اخا ه ,True,FAMILY
63,63,احمد الديوه جي ,عبدالله الفيضي,لازم اخا ه عثمان الديوه جي في الدراسه و ل ازم ,True,COMPANIONSHIP
64,64,احمد الديوه جي ,محمد الرضواني,لازم اخا ه عثمان الديوه جي في الدراسه و ل ازم عبدالله الفيضي و درس علي ه النحو و الصرف و ,True,STUDY
65,65,احمد الديوه جي ,محمود الفخري,في جامع النبي جرجيس عام 1929 و مضى يدرس طلاب ه في دار ه و كان يتقن الفارسيه و التركيه و الف عده كتب : 1 شرح منظومه السيد ,True,MISC
66,66,احمد الصوفي ,احمد الصوفي ,nan,True,SAME PERSON
67,67,احمد الصوفي ,احمد الصوفي ,كان ,True,SAME PERSON
68,68,احمد الماجد ,احمد الماجد ,nan,True,SAME PERSON
69,69,احمد الماجد ,سعدي صالح,احمد حسن الماجد المولود في الموصل في العام 1972 بدا ممثلا هاويا في نقابه الفنانين ثم انضم الى زميل ه المخرج ,True,COMPANIONSHIP
70,70,احمد الماجد ,سعدي صالح,نقابه الفنانين ثم انضم الى زميل ه المخرج سعدي صالح ل تقديم مسرحيات البانتومايم- مسرح الصوره ف قدم اعمال ل كش انا و سلنموت و كلا العملين من اخراج ,True,WORK
71,71,احمد الماجد ,سعدي صالح,و طاقات نا  و كل يوم نسعى ان نقدم دليلا على امكانيه تمثيل بلد نا ب شكل صحيح و لائق  و خذ مثلا الكاتب المسرحي و المخرج ,True,MISC
72,72,احمد الماجد ,فلاح شاكر,و خذ مثلا الكاتب المسرحي و المخرج سعدي صالح الذي نال الجائزه الثانيه في الشارقه العام الماضي  و ك ذلك مسرحيه الجنه تفتح ابواب ها متاخره ل لكاتب ,True,MISC
73,73,احمد جرجيس,احمد جرجيس,في ه اركان الولايه و انت الشهم في الانجاب ندب ل حل المشكلات ب ه الكفايه و انت الفرد في الامراء لكن توازن من همو في العدمايه و كان ,True,SAME PERSON
74,74,احمد ملا بكر علوان,احمد ملا بكر علوان,nan,True,SAME PERSON
75,75,احمد ملا بكر علوان,احمد ملا بكر علوان,و فوق باب حجره المدرس [ و هي ل ,True,SAME PERSON
76,76,احمد توفيق جليمران,ضياء الدخيلي,تلقى في ها علوم ه الاوليه و دخل الكليه الطبيه و تخرج في ها عام 1947. التحق ب فرع التخدير و اصبح من المخدرين المعروفين خلد ه زميل ه ,True,WORK
77,77,احمد توفيق جليمران,احمد توفيق جليمران,دخل الكليه الطبيه و تخرج في ها عام 1947. التحق ب فرع التخدير و اصبح من المخدرين المعروفين خلد ه زميل ه ضياء الدخيلي ب ابيات من ها : ,True,SAME PERSON
78,78,احمد جارالله ياسين القاضي ,رحاب الصائغ,اصدر مجموعه شعريه ب عنوان هوامش الحزن عام 1999. اصدر مجموعه شعريه مشتركه مع الشعراء ,True,WORK
79,79,احمد جارالله ياسين القاضي ,عبدالستار عبدالله,اصدر مجموعه شعريه ب عنوان هوامش الحزن عام 1999. اصدر مجموعه شعريه مشتركه مع الشعراء رحاب الصائغ و الدكتور ,True,WORK
80,80,احمد حمدي جمالالدين السيد محمود افندي ,محمود افندي,/ 1345 ه عن عمر يناهز السبعين جاء ذكر ه في الدليل العراقي سنه 1936. امين الفتوى ت1345 ه نشا في بيئه علميه و درس على والد ه السيد ,True,STUDY
81,81,احمد حمدي جمالالدين السيد محمود افندي ,عبدالوهاب افندي الجوادي,يناهز السبعين جاء ذكر ه في الدليل العراقي سنه 1936. امين الفتوى ت1345 ه نشا في بيئه علميه و درس على والد ه السيد محمود افندي و على الشيخ ,True,STUDY
82,82,احمد حمدي جمالالدين السيد محمود افندي ,محمد حبيب العبيدي,ه السيد محمود افندي و على الشيخ عبدالوهاب افندي الجوادي و على غير هما من افاضل علماء زمان ه و قد درس علي ه الكثيرون من هم المرحوم السيد ,True,STUDY
83,83,احمد حمدي جمالالدين السيد محمود افندي ,عبدالوهاب الفخري,في المجلس التاسيسي ثم وزيرا ل لعدليه ثم عضوا في مجلس الاعيان كان شاعرا و اديبا ل امعا ل ه ديوان شعر التذكار الاصفي غير مطبوع ب حوزه الشيخ ,True,MISC
84,84,احمد حمدي جمالالدين السيد محمود افندي ,محمد النوري,العينيه و القصيده الهائيه في مدح نبيالله يونس ع و يشتمل على 208 صفحه و ل ه تقاريض على العديد من المؤلفات من ها مخطوطه الكوكب الدري في مدح ,True,MISC
85,85,احمد حمدي جمالالدين السيد محمود افندي ,محمود الجبقجي,مدح نبيالله يونس ع و يشتمل على 208 صفحه و ل ه تقاريض على العديد من المؤلفات من ها مخطوطه الكوكب الدري في مدح محمد النوري ل مؤلف ه ,True,MISC
86,86,احمد حمدي جمالالدين السيد محمود افندي ,علي الجميل,صفحه و ل ه تقاريض على العديد من المؤلفات من ها مخطوطه الكوكب الدري في مدح محمد النوري ل مؤلف ه محمود الجبقجي ك ما درس علي ه المرحوم ,True,STUDY
87,87,احمد حمدي جمالالدين السيد محمود افندي ,محمد افندي الفخري,مؤلف ه محمود الجبقجي ك ما درس علي ه المرحوم علي الجميل فقرا علي ه الادب و الشعر ك ما سبق ل لموما الي ه ان درس على المرحوم ,True,STUDY
88,88,احمد حمدي جمالالدين السيد محمود افندي ,احمد محمد المختار,افندي الفخري فقرا الاجروميه و شرح القطر و الغيه مالك و شرح السيوطي و شرح كافيه الجامي و كتب مختلفه في المنطق و البيان و البديع ص60 من كتاب ,True,MISC
89,89,احمد حمدي جمالالدين السيد محمود افندي ,احمد الفخري,و الغيه مالك و شرح السيوطي و شرح كافيه الجامي و كتب مختلفه في المنطق و البيان و البديع ص60 من كتاب احمد محمد المختار علماء الموصل راس المرحوم ,True,WORK
90,90,احمد حمدي جمالالدين السيد محمود افندي ,محمد حبيب العبيدي,احمد محمد المختار علماء الموصل راس المرحوم احمد الفخري الهيئه الاداريه المنتخبه من قبل جمعيه الدفاع الوطني التي تاسست ب تاريخ 26/ ك2 / 1925 و عضويه كل من ,True,WORK
91,91,احمد حمدي جمالالدين السيد محمود افندي ,ارشد العمري,احمد الفخري الهيئه الاداريه المنتخبه من قبل جمعيه الدفاع الوطني التي تاسست ب تاريخ 26/ ك2 / 1925 و عضويه كل من محمد حبيب العبيدي نائبا ل لرئيس و ,True,WORK
92,92,احمد حمدي جمالالدين السيد محمود افندي ,ثابت عبدالنور,المنتخبه من قبل جمعيه الدفاع الوطني التي تاسست ب تاريخ 26/ ك2 / 1925 و عضويه كل من محمد حبيب العبيدي نائبا ل لرئيس و ارشد العمري سكرتيرا و ,True,WORK
93,93,احمد حمدي جمالالدين السيد محمود افندي ,ابراهيم كمال واصف,جمعيه الدفاع الوطني التي تاسست ب تاريخ 26/ ك2 / 1925 و عضويه كل من محمد حبيب العبيدي نائبا ل لرئيس و ارشد العمري سكرتيرا و ثابت عبدالنور و ,True,WORK
94,94,احمد حمدي جمالالدين السيد محمود افندي ,ال قاسم اغا,ب تاريخ 26/ ك2 / 1925 و عضويه كل من محمد حبيب العبيدي نائبا ل لرئيس و ارشد العمري سكرتيرا و ثابت عبدالنور و ابراهيم كمال واصف و فائي ,True,WORK
95,95,احمد حمدي جمالالدين السيد محمود افندي ,جميل دلالي,من محمد حبيب العبيدي نائبا ل لرئيس و ارشد العمري سكرتيرا و ثابت عبدالنور و ابراهيم كمال واصف و فائي ال قاسم اغا و محمد صدق ي سليمان و ,True,WORK
96,96,احمد سامي الجلبي ,نعمهالله النعمه,قضى سنتين من دراست ه في الاحداث الاولى عام 1939 و كانت تقع في المنطقه الثلمه ثم انتقل الى المدرسه العراقيه ل لبنين و تاثر ب مدرس اللغه العربيه ,True,STUDY
97,97,احمد سامي الجلبي ,سعدالدين الجلبي,في الكتابه ب اسم مستعار و نقل اثناء وجود ه في الاوقاف بين عقره و دهوك و اثناء وجود ه في ها وقعت احداث الموصل و استشهد شقيق ه ,True,FAMILY
98,98,احمد سامي الجلبي ,سامي الجلبي,عمل ,True,SAME PERSON
99,99,احمد سامي الجلبي ,ناجي القشطيني,الصحافه و هو في مرحله الدراسه المتوسطه ف كان ضمن تحرير نشره اليقظه التي اصدرت ها المتوسطه الشرقيه عام 1947 و عمل مراسلا ل جريده الاتحاد ل صاحب ها ,True,WORK
100,100,احمد سامي الجلبي ,ضياءالدين العمري,ل جريده الاتحاد ل صاحب ها ناجي القشطيني و عمل في هياه تحرير الالهام التي تصدر ها الاعداديه عام 1948-1949 و تولى سكرتاريه تحرير مجله الابتكار ل صاحب ها ,True,WORK
101,101,احمد سامي الجلبي ,فاضل جميل,شيء  الجيل الجديد  الادب و الاجتماع و كان يرسل المواد اسبوعيا الى جريده فتى العراق و اشرف في بغداد على صحف الاماني و الطليعه ل صاحب هما ,True,WORK
102,102,احمد سامي الجلبي ,حازم المفتي,و في عام 1954 تولى سكرتاريه تحرير جريده اللواء ل صاحب ها ,True,WORK
103,103,احمد سامي الجلبي ,هيفاء عبدالله,س  س ح  سين  ابوصميم  الفتى العربي  الغنى  ضرغام  المحرر  نوال العبيدي  ,True,MISC
104,104,احمد سامي الجلبي ,سعاد مصطفى,س  س ح  سين  ابوصميم  الفتى العربي  الغنى  ضرغام  المحرر  نوال العبيدي  هيفاء عبدالله  هدى عبدالله  ,True,MISC
105,105,احمد سامي الجلبي ,محمد صديق شنشل,نتيجه ل تواجد ه الدائم في اداره الجريده ف قد حمل الفكر القومي ل ان الجريده كانت مؤيده ل حزب الاستقلال و ل كثره لقاءات ه مع اقطاب ه ,True,COMPANIONSHIP
106,106,احمد سامي الجلبي ,حازم المفتي,الدائم في اداره الجريده ف قد حمل الفكر القومي ل ان الجريده كانت مؤيده ل حزب الاستقلال و ل كثره لقاءات ه مع اقطاب ه محمد صديق شنشل و ,True,COMPANIONSHIP
107,107,احمد سامي الجلبي ,ابراهيم وصفي رفيق,الجريده ف قد حمل الفكر القومي ل ان الجريده كانت مؤيده ل حزب الاستقلال و ل كثره لقاءات ه مع اقطاب ه محمد صديق شنشل و حازم المفتي و ,True,COMPANIONSHIP
108,108,احمد سامي الجلبي ,غربي الحاج احمد,الفكر القومي ل ان الجريده كانت مؤيده ل حزب الاستقلال و ل كثره لقاءات ه مع اقطاب ه محمد صديق شنشل و حازم المفتي و ابراهيم وصفي رفيق و ,True,COMPANIONSHIP
109,109,احمد سامي الجلبي ,محمد غانم,محمد صديق شنشل و حازم المفتي و ابراهيم وصفي رفيق و غربي الحاج احمد و عمل مع الشباب المؤاز ل حزب الاستقلال في تلك المرحله مثل تاجالدين العمري  ,True,WORK
110,110,احمد سامي الجلبي ,عبدالغفار الصائغ,حازم المفتي و ابراهيم وصفي رفيق و غربي الحاج احمد و عمل مع الشباب المؤاز ل حزب الاستقلال في تلك المرحله مثل تاجالدين العمري  محمد غانم العناز  ,True,WORK
111,111,احمد سامي الجلبي ,فخري ابراهيم شنشل,ابراهيم وصفي رفيق و غربي الحاج احمد و عمل مع الشباب المؤاز ل حزب الاستقلال في تلك المرحله مثل تاجالدين العمري  محمد غانم العناز  عبدالغفار الصائغ  ,True,WORK
112,112,احمد سامي الجلبي ,عبدالحميد التحافي,غربي الحاج احمد و عمل مع الشباب المؤاز ل حزب الاستقلال في تلك المرحله مثل تاجالدين العمري  محمد غانم العناز  عبدالغفار الصائغ  فخري ابراهيم شنشل  ,True,WORK
113,113,احمد سامي الجلبي ,محمد صالح شاهين,و عمل مع الشباب المؤاز ل حزب الاستقلال في تلك المرحله مثل تاجالدين العمري  محمد غانم العناز  عبدالغفار الصائغ  فخري ابراهيم شنشل  عبدالحميد التحافي  ,True,WORK
114,114,احمد سامي الجلبي ,عبدالرحيم الصائغ,ل حزب الاستقلال في تلك المرحله مثل تاجالدين العمري  محمد غانم العناز  عبدالغفار الصائغ  فخري ابراهيم شنشل  عبدالحميد التحافي  محمد صالح شاهين  و ,True,WORK
115,115,احمد سامي الجلبي ,محمد غانم,و في مرحله الدراسه الاعداديه عمل مع زميل ه ,True,WORK
116,116,احمد سامي الجلبي ,محمد صديق شنشل,و تاجالدين العمري على فتح مكتبه الشباب القومي عام 1949 في منطقه الباب الجديد و اصدرت مجله ب اسم الابتكار ). و في بغداد عام 1950 ربطت ه ب ,True,WORK
117,117,احمد سامي الجلبي ,عبدالحميد التحافي,صله بعدنان الراوي الذي انشق عن حزب الاستقلال و عمل مع ه في تنظيم ه السري و جمع الشباب حول ه عن طريق اليقظه العربيه المكتبه التي ادار ها ,True,WORK
118,118,احمد سامي الجلبي ,عبدالغفار الصائغ,الذي انشق عن حزب الاستقلال و عمل مع ه في تنظيم ه السري و جمع الشباب حول ه عن طريق اليقظه العربيه المكتبه التي ادار ها عبدالحميد التحافي و ,True,WORK
119,119,احمد سامي الجلبي ,احمد سامي الجلبي ,و بعد ثوره 14 تموز 1958 اقيم احتفال قومي كبير في 24/11/1958 من قبل الشباب العربي في جامع النبي شيت ذكرى الانتصار على العدوان الثلاثي في مصر و القى ,True,SAME PERSON
120,120,احمد سامي الجلبي ,نجيب محمد علي,و بعد حركه الشواف عام 1959 كسبت ه حركه القوميين العرب في صفوف ها المتقدمه حيث عمل مع ,True,WORK
121,121,احمد سامي الجلبي ,حسين الفخري,و بعد حركه الشواف عام 1959 كسبت ه حركه القوميين العرب في صفوف ها المتقدمه حيث عمل مع نجيب محمد علي و ,True,WORK
122,122,احمد سامي الجلبي ,يوسف ذنون,و بعد حركه الشواف عام 1959 كسبت ه حركه القوميين العرب في صفوف ها المتقدمه حيث عمل مع نجيب محمد علي و حسين الفخري و ,True,WORK
123,123,احمد سامي الجلبي ,سالم الحمداني,و بعد حركه الشواف عام 1959 كسبت ه حركه القوميين العرب في صفوف ها المتقدمه حيث عمل مع نجيب محمد علي و حسين الفخري و يوسف ذنون و ,True,WORK
124,124,احمد سامي الجلبي ,مظفر اللاوند,حركه الشواف عام 1959 كسبت ه حركه القوميين العرب في صفوف ها المتقدمه حيث عمل مع نجيب محمد علي و حسين الفخري و يوسف ذنون و سالم الحمداني و ,True,WORK
125,125,احمد سامي الجلبي ,عبدالغفار الصائغ,غريبه  لماذا احبت ك انت و نشر عددا من المقالات النقديه الداعيه الى الادب الملتزم و سعى الى اقامه تجمع ادبي في جريده فتى العراق و قد ضمت ,True,COMPANIONSHIP
126,126,احمد سامي الجلبي ,عبدالحليم اللاوند,احبت ك انت و نشر عددا من المقالات النقديه الداعيه الى الادب الملتزم و سعى الى اقامه تجمع ادبي في جريده فتى العراق و قد ضمت عبدالغفار الصائغ و ,True,COMPANIONSHIP
127,127,احمد سامي الجلبي ,عبدالحميد التحافي,و نشر عددا من المقالات النقديه الداعيه الى الادب الملتزم و سعى الى اقامه تجمع ادبي في جريده فتى العراق و قد ضمت عبدالغفار الصائغ و عبدالحليم اللاوند و ,True,COMPANIONSHIP
128,128,احمد سامي الجلبي ,احمد المختار,من المقالات النقديه الداعيه الى الادب الملتزم و سعى الى اقامه تجمع ادبي في جريده فتى العراق و قد ضمت عبدالغفار الصائغ و عبدالحليم اللاوند و عبدالحميد التحافي و ,True,COMPANIONSHIP
