,0,1,2,3,4,5,6
29,ابراهيم صلاوي ,احمد يونس العبيدي,False,COMPANY,المشاركين,,و حصل على المركز الاول و كاسا فخريا ل جميع الفئات و كان من بين المشاركين كل من احمد يونس داؤد المعروف ب احمد ابوالكاز و ادريس حكمت و 
30,ابراهيم صلاوي ,هاشم الصباغ,False,COMPANY,المشاركين,,الاول و كاسا فخريا ل جميع الفئات و كان من بين المشاركين كل من احمد يونس داؤد المعروف ب احمد ابوالكاز و ادريس حكمت و احمد يونس العبيدي و 
31,ابراهيم صلاوي ,عباس الهنداوي,False,COMPETITION,نافس,,احمد يونس العبيدي و هاشم الصباغ و غير هم و في بطوله الجمهوريه عام 1976 حصل على المركز الخامس على عموم العراق و نافس في ها البطل العراقي المعروف 
32,ابراهيم صلاوي ,شاكر ابراهيم,False,COMPETITION,منافسه,,بعد مباراه خماسيه مع ه و حصل على المركز الاول في بطوله المحافظه ل لقاعات المغلقه و حصل عام 1983 على بطوله القطر المفتوحه ب منافسه كل من الابطال 
33,ابراهيم صلاوي ,محمد ذنون,False,COMPANY,ساهم,,من بغداد و محمود من ديالى ثم كان الاعتزال عام 1983. ساهم في تخريج و صقل الكثير من المواهب التي شقت طريق ها في طريق النجوميه فيما بعد ك 
34,ابراهيم صلاوي ,مهند غازي,False,COMPANY,ساهم,,ديالى ثم كان الاعتزال عام 1983. ساهم في تخريج و صقل الكثير من المواهب التي شقت طريق ها في طريق النجوميه فيما بعد ك محمد ذنون الملقب ابواذن و 
35,ابراهيم صلاوي ,عمار عبدالنافع,False,COMPANY,ساهم,,الاعتزال عام 1983. ساهم في تخريج و صقل الكثير من المواهب التي شقت طريق ها في طريق النجوميه فيما بعد ك محمد ذنون الملقب ابواذن و مهند غازي و 
36,ابراهيم عبو ,فرج عبو,False,COMPANY,معيه,,ولد ب الموصل ، مارس الفن منذ الطفوله ب معيه اثنين من اخوت ه الفنان 
37,ابراهيم فاضل المشهداني ,اسماعيل الهندي,False,WSTUDY,قرا,,ولد في الموصل ، و قرا في طفولت ه عند الكتاتيب جزء عّم و درس الحروف العربيه و القراءه و الكتابه و اخذ روايه حفص عن عاصم عند الملا 
38,ابراهيم فاضل المشهداني ,صالح افندي الجوادي,False,WSTUDY,جامع,,القراءه و الكتابه و اخذ روايه حفص عن عاصم عند الملا اسماعيل الهندي في جامع المشاهده مع قواعد التجويد هدايه المستفيد و قرا ما يقارب نصف القران عند الشيخ 
39,ابراهيم فاضل المشهداني ,نافع المدني,False,WSTUDY,قرا,,و قرا مذهب 
40,ابراهيم فاضل المشهداني ,صالح افندي الجوادي,False,WSTUDY,قرا,,ثم قرا جمعا ل لشيوخ الثلاثه نافع براوييه و المكي براوييه و البصري براوييه و يسمى هذا الجمع الصغير من اول القران الى سوره النساءوبعد وفاه 
41,ابراهيم فاضل المشهداني ,عبدالفتاح الجومرد,False,WSTUDY,قرا,عبدالفتاح الجومرد,براوييه و المكي براوييه و البصري براوييه و يسمى هذا الجمع الصغير من اول القران الى سوره النساءوبعد وفاه صالح افندي الجوادي الذي قرا علي ه انتقل الى الشيخ 
42,ابراهيم فاضل المشهداني ,عامر الشامي,False,MISC,,,سوره النساء ، و ك ما جرت العاده مع الشيوخ ، رمز ل هم الامام الشاطبي و الجامع الصغير البقره و ال عمران و النساء ثم افرد ل لامام 
43,ابراهيم فاضل المشهداني ,حسين الفخري,False,MISC,,حسين قاسم الفخري,و ارخ 
44,ابراهيم فاضل المشهداني ,عبدالفتاح الجومرد,False,WSTUDY,اجازه,عبدالفتاح الجومرد,قالقلت ذاكم ارخوا فضل ل هم ان ابراهيم اوا ه حليموتاريخ اجازه الشيخ 
45,ابراهيم فاضل المشهداني ,ابراهيم فاضل المشهداني ,True,,,,ان ابراهيم اوا ه حليموتاريخ اجازه الشيخ عبدالفتاح الجومرد موئل القراء في القراءات السبع مطلع ها : موئل القراء ذو الحظ العظيم باركالله ل ه و هو الكريمواجاز الشيخ 
46,ابراهيم وصفي رفيق,براق ابراهيم وصفي,False,WSTUDY,رئيس,,الاحكام العدليه التي نقلت الى العربيه و انجب كل من فارس- مدعي عام ب الموصل و توفي شابا رحم هالله والقاضي- نائب رئيس محكمه استئناف الموصل حاليا و القاضي 
47,ابوبكر عبدالبر الموصلي,ابوبكر عبدالبر الموصلي,True,,,,
48,اثناسيوس بهنام خليان ,افرام رحماني,False,HELP,رعايه,,، درس في روما عام 1899 و في بيروت عام 1908 و رسم كاهنا و عاد الى الموصل و عين مشرفا على دير مار ب هنام الشهيد ب رعايه 
49,اثيل الجومرد,اثيل الجومرد,True,,,,
50,احمد افندي الخياط,احمد افندي الخياط,True,,,,
51,احمد الجوادي ,جميل المدفعي,False,WSTUDY,درس,جميل المدفعي,العنصريه ، كان يجيد الفارسيه و التركيه و هو شيخ قراء الموصل ، قام ب التدريس في دار المعلمين ب الموصل العلوم الدينيه و اللغويه و درس علي ه 
52,احمد الجوادي ,علي جودت الايوبي,False,WSTUDY,درس,علي جودت الايوبي,التركيه و هو شيخ قراء الموصل ، قام ب التدريس في دار المعلمين ب الموصل العلوم الدينيه و اللغويه و درس علي ه جميل المدفعي و مولود مخلص و 
53,احمد الجوادي ,امجد العمري,False,WSTUDY,درس,,، قام ب التدريس في دار المعلمين ب الموصل العلوم الدينيه و اللغويه و درس علي ه جميل المدفعي و مولود مخلص و علي جودت الايوبي و ارشد و 
54,احمد الجوادي ,خيرالدين العمري,False,WSTUDY,درس,خيرالدين العمري,التدريس في دار المعلمين ب الموصل العلوم الدينيه و اللغويه و درس علي ه جميل المدفعي و مولود مخلص و علي جودت الايوبي و ارشد و امجد العمري و 
55,احمد الجوادي ,صالح الخطيب,False,CONTACT,اتصل,,درس في المدرسه الرشديه ب الموصل و واصل دراست ه في دار الملمين الابتدائيه ب الموصل ايضا و اتصل ب شيوخ كبار مثل الشيخ 
56,احمد الجوادي ,محمد الرضواني,False,CONTACT,اتصل,محمد طاهر امين سعيد الرضواني,درس في المدرسه الرشديه ب الموصل و واصل دراست ه في دار الملمين الابتدائيه ب الموصل ايضا و اتصل ب شيوخ كبار مثل الشيخ صالح الخطيب و الشيخ 
57,احمد الجوادي ,عبدالوهاب الجوادي,False,CONTACT,اتصل,,ب الموصل ايضا و اتصل ب شيوخ كبار مثل الشيخ صالح الخطيب و الشيخ محمد الرضواني و درس علي هما علوم الشريعه الاسلاميه و ل ازم والد ه الشيخ 
58,احمد الجوادي ,يحيى لؤلؤه,False,WSTUDY,درس,,محمد الرضواني و درس علي هما علوم الشريعه الاسلاميه و ل ازم والد ه الشيخ عبدالوهاب الجوادي و كانت من ه اجازت ه العلميه و درس القراءات السبع على 
59,احمد الجوادي ,يحيى باشا الجليلي,False,MISC,,,و بعد تدريس ه في عده مدارس غير دار المعلمين مثل مدرستي 
60,احمد الجوادي ,نعمان باشا الجليلي,False,MISC,,,و بعد تدريس ه في عده مدارس غير دار المعلمين مثل مدرستي يحيى باشا الجليلي و 
61,احمد الحاج سعيد ,فيصل الثاني,False,MISC,,,منح نوط الحرب و النصر و نوط 
62,احمد الديوه جي ,عثمان الديوه جي,False,FAMILY,اخا,عثمان الديوه جي,لازم اخا ه 
63,احمد الديوه جي ,عبدالله الفيضي,False,FAMILY,اخا,,لازم اخا ه عثمان الديوه جي في الدراسه و ل ازم 
64,احمد الديوه جي ,محمد الرضواني,False,WSTUDY,درس,محمد طاهر امين سعيد الرضواني,لازم اخا ه عثمان الديوه جي في الدراسه و ل ازم عبدالله الفيضي و درس علي ه النحو و الصرف و 
65,احمد الديوه جي ,محمود الفخري,False,WSTUDY,جامع,,في جامع النبي جرجيس عام 1929 و مضى يدرس طلاب ه في دار ه و كان يتقن الفارسيه و التركيه و الف عده كتب : 1 شرح منظومه السيد 
66,احمد الصوفي ,احمد الصوفي ,True,,,,
67,احمد الصوفي ,احمد الصوفي ,True,,,,كان 
68,احمد الماجد ,احمد الماجد ,True,,,,
69,احمد الماجد ,سعدي صالح,False,WSTUDY,المخرج,,احمد حسن الماجد المولود في الموصل في العام 1972، بدا ممثلا هاويا في نقابه الفنانين ثم انضم الى زميل ه المخرج 
70,احمد الماجد ,سعدي صالح,False,WSTUDY,المخرج,,نقابه الفنانين ثم انضم الى زميل ه المخرج سعدي صالح ل تقديم مسرحيات البانتومايم- مسرح الصوره ف قدم اعمال ل كش انا و سلنموت و كلا العملين من اخراج 
71,احمد الماجد ,سعدي صالح,False,WSTUDY,المخرج,,و طاقات نا ، و كل يوم نسعى ان نقدم دليلا على امكانيه تمثيل بلد نا ب شكل صحيح و لائق ، و خذ مثلا الكاتب المسرحي و المخرج 
72,احمد الماجد ,فلاح شاكر,False,WSTUDY,المخرج,,و خذ مثلا الكاتب المسرحي و المخرج سعدي صالح الذي نال الجائزه الثانيه في الشارقه العام الماضي ، و ك ذلك مسرحيه الجنه تفتح ابواب ها متاخره ل لكاتب 
73,احمد جرجيس,احمد جرجيس,True,,,,في ه اركان الولايه و انت الشهم في الانجاب ندب ل حل المشكلات ب ه الكفايه و انت الفرد في الامراء لكن توازن من همو في العدمايه و كان 
74,احمد ملا بكر علوان,احمد ملا بكر علوان,True,,,,
75,احمد ملا بكر علوان,احمد ملا بكر علوان,True,,,,و فوق باب حجره المدرس [ و هي ل 
76,احمد توفيق جليمران,ضياء الدخيلي,False,FRIENDSHIP,زميل,,تلقى في ها علوم ه الاوليه و دخل الكليه الطبيه و تخرج في ها عام 1947. التحق ب فرع التخدير و اصبح من المخدرين المعروفين خلد ه زميل ه 
77,احمد توفيق جليمران,احمد توفيق جليمران,True,,,,دخل الكليه الطبيه و تخرج في ها عام 1947. التحق ب فرع التخدير و اصبح من المخدرين المعروفين خلد ه زميل ه ضياء الدخيلي ب ابيات من ها : 
78,احمد جارالله ياسين القاضي ,رحاب الصائغ,False,COMPANY,مشتركه,,اصدر مجموعه شعريه ب عنوان هوامش الحزن عام 1999. اصدر مجموعه شعريه مشتركه مع الشعراء 
79,احمد جارالله ياسين القاضي ,عبدالستار عبدالله,False,COMPANY,مشتركه,عبدالستار عبدالله صالح عبدالله,اصدر مجموعه شعريه ب عنوان هوامش الحزن عام 1999. اصدر مجموعه شعريه مشتركه مع الشعراء رحاب الصائغ و الدكتور 
80,احمد حمدي جمالالدين السيد محمود افندي ,محمود افندي,False,MENTION,ذكر,,/ 1345 ه عن عمر يناهز السبعين جاء ذكر ه في الدليل العراقي سنه 1936. امين الفتوى ت1345 ه نشا في بيئه علميه و درس على والد ه السيد 
81,احمد حمدي جمالالدين السيد محمود افندي ,عبدالوهاب افندي الجوادي,False,MENTION,ذكر,,يناهز السبعين جاء ذكر ه في الدليل العراقي سنه 1936. امين الفتوى ت1345 ه نشا في بيئه علميه و درس على والد ه السيد محمود افندي و على الشيخ 
82,احمد حمدي جمالالدين السيد محمود افندي ,محمد حبيب العبيدي,False,WSTUDY,درس,محمد حبيب العبيدي,ه السيد محمود افندي و على الشيخ عبدالوهاب افندي الجوادي و على غير هما من افاضل علماء زمان ه و قد درس علي ه الكثيرون من هم المرحوم السيد 
83,احمد حمدي جمالالدين السيد محمود افندي ,عبدالوهاب الفخري,False,MISC,,عبدالوهاب محمد نوري الفخري,في المجلس التاسيسي ثم وزيرا ل لعدليه ثم عضوا في مجلس الاعيان كان شاعرا و اديبا ل امعا ل ه ديوان شعر التذكار الاصفي غير مطبوع ب حوزه الشيخ 
84,احمد حمدي جمالالدين السيد محمود افندي ,محمد النوري,False,MENTION,مدح,محمد افندي النوري,العينيه و القصيده الهائيه في مدح نبيالله يونس ع و يشتمل على 208 صفحه و ل ه تقاريض على العديد من المؤلفات من ها مخطوطه الكوكب الدري في مدح 
85,احمد حمدي جمالالدين السيد محمود افندي ,محمود الجبقجي,False,,,,مدح نبيالله يونس ع و يشتمل على 208 صفحه و ل ه تقاريض على العديد من المؤلفات من ها مخطوطه الكوكب الدري في مدح محمد النوري ل مؤلف ه 
86,احمد حمدي جمالالدين السيد محمود افندي ,علي الجميل,False,MENTION,مدح,علي الجميل,صفحه و ل ه تقاريض على العديد من المؤلفات من ها مخطوطه الكوكب الدري في مدح محمد النوري ل مؤلف ه محمود الجبقجي ك ما درس علي ه المرحوم 
87,احمد حمدي جمالالدين السيد محمود افندي ,محمد افندي الفخري,False,WSTUDY,درس,,مؤلف ه محمود الجبقجي ك ما درس علي ه المرحوم علي الجميل فقرا علي ه الادب و الشعر ك ما سبق ل لموما الي ه ان درس على المرحوم 
88,احمد حمدي جمالالدين السيد محمود افندي ,احمد محمد المختار,False,MISC,,احمد محمد المختار,افندي الفخري فقرا الاجروميه و شرح القطر و الغيه مالك و شرح السيوطي و شرح كافيه الجامي و كتب مختلفه في المنطق و البيان و البديع ص60 من كتاب 
89,احمد حمدي جمالالدين السيد محمود افندي ,احمد الفخري,False,MISC,,احمد قاسم الفخري,و الغيه مالك و شرح السيوطي و شرح كافيه الجامي و كتب مختلفه في المنطق و البيان و البديع ص60 من كتاب احمد محمد المختار علماء الموصل راس المرحوم 
90,احمد حمدي جمالالدين السيد محمود افندي ,محمد حبيب العبيدي,False,MISC,,محمد حبيب العبيدي,احمد محمد المختار علماء الموصل راس المرحوم احمد الفخري الهيئه الاداريه المنتخبه من قبل جمعيه الدفاع الوطني التي تاسست ب تاريخ 26/ ك2 / 1925 و عضويه كل من 
91,احمد حمدي جمالالدين السيد محمود افندي ,ارشد العمري,False,MISC,,ارشد العمري,احمد الفخري الهيئه الاداريه المنتخبه من قبل جمعيه الدفاع الوطني التي تاسست ب تاريخ 26/ ك2 / 1925 و عضويه كل من محمد حبيب العبيدي نائبا ل لرئيس و 
92,احمد حمدي جمالالدين السيد محمود افندي ,ثابت عبدالنور,False,MISC,,ثابت عبدالنور,المنتخبه من قبل جمعيه الدفاع الوطني التي تاسست ب تاريخ 26/ ك2 / 1925 و عضويه كل من محمد حبيب العبيدي نائبا ل لرئيس و ارشد العمري سكرتيرا و 
93,احمد حمدي جمالالدين السيد محمود افندي ,ابراهيم كمال واصف,False,MISC,,,جمعيه الدفاع الوطني التي تاسست ب تاريخ 26/ ك2 / 1925 و عضويه كل من محمد حبيب العبيدي نائبا ل لرئيس و ارشد العمري سكرتيرا و ثابت عبدالنور و 
94,احمد حمدي جمالالدين السيد محمود افندي ,ال قاسم اغا,False,MISC,,,ب تاريخ 26/ ك2 / 1925 و عضويه كل من محمد حبيب العبيدي نائبا ل لرئيس و ارشد العمري سكرتيرا و ثابت عبدالنور و ابراهيم كمال واصف و فائي 
95,احمد حمدي جمالالدين السيد محمود افندي ,جميل دلالي,False,MISC,,,من محمد حبيب العبيدي نائبا ل لرئيس و ارشد العمري سكرتيرا و ثابت عبدالنور و ابراهيم كمال واصف و فائي ال قاسم اغا و محمد صدق ي سليمان و 
96,احمد سامي الجلبي ,نعمهالله النعمه,False,WSTUDY,مدرس,نعمهالله النعمه,قضى سنتين من دراست ه في الاحداث الاولى عام 1939 و كانت تقع في المنطقه الثلمه ثم انتقل الى المدرسه العراقيه ل لبنين و تاثر ب مدرس اللغه العربيه 
97,احمد سامي الجلبي ,سعدالدين الجلبي,False,FAMILY,شقيق,,في الكتابه ب اسم مستعار و نقل اثناء وجود ه في الاوقاف بين عقره و دهوك و اثناء وجود ه في ها وقعت احداث الموصل و استشهد شقيق ه 
98,احمد سامي الجلبي ,سامي الجلبي,False,MISC,,,عمل 
99,احمد سامي الجلبي ,ناجي القشطيني,False,WSTUDY,جريده,,الصحافه و هو في مرحله الدراسه المتوسطه ف كان ضمن تحرير نشره اليقظه التي اصدرت ها المتوسطه الشرقيه عام 1947 و عمل مراسلا ل جريده الاتحاد ل صاحب ها 
100,احمد سامي الجلبي ,ضياءالدين العمري,False,WSTUDY,مجله,,ل جريده الاتحاد ل صاحب ها ناجي القشطيني و عمل في هياه تحرير الالهام التي تصدر ها الاعداديه عام 1948-1949 و تولى سكرتاريه تحرير مجله الابتكار ل صاحب ها 
101,احمد سامي الجلبي ,فاضل جميل,False,WSTUDY,جريده,,شيء ، الجيل الجديد ، الادب و الاجتماع و كان يرسل المواد اسبوعيا الى جريده فتى العراق و اشرف في بغداد على صحف الاماني و الطليعه ل صاحب هما 
102,احمد سامي الجلبي ,حازم المفتي,False,WSTUDY,جريده,حازم المفتي,و في عام 1954 تولى سكرتاريه تحرير جريده اللواء ل صاحب ها 
103,احمد سامي الجلبي ,هيفاء عبدالله,False,MISC,,,س ، س ح ، سين ، ابوصميم ، الفتى العربي ، الغنى ، ضرغام ، المحرر ، نوال العبيدي ، 
104,احمد سامي الجلبي ,سعاد مصطفى,False,MISC,,,س ، س ح ، سين ، ابوصميم ، الفتى العربي ، الغنى ، ضرغام ، المحرر ، نوال العبيدي ، هيفاء عبدالله ، هدى عبدالله ، 
105,احمد سامي الجلبي ,محمد صديق شنشل,False,WSTUDY,اداره,محمد صديق شنشل,نتيجه ل تواجد ه الدائم في اداره الجريده ف قد حمل الفكر القومي ل ان الجريده كانت مؤيده ل حزب الاستقلال و ل كثره لقاءات ه مع اقطاب ه 
106,احمد سامي الجلبي ,حازم المفتي,False,WSTUDY,اداره,حازم المفتي,الدائم في اداره الجريده ف قد حمل الفكر القومي ل ان الجريده كانت مؤيده ل حزب الاستقلال و ل كثره لقاءات ه مع اقطاب ه محمد صديق شنشل و 
107,احمد سامي الجلبي ,ابراهيم وصفي رفيق,False,WSTUDY,حزب,ابراهيم وصفي رفيق,الجريده ف قد حمل الفكر القومي ل ان الجريده كانت مؤيده ل حزب الاستقلال و ل كثره لقاءات ه مع اقطاب ه محمد صديق شنشل و حازم المفتي و 
108,احمد سامي الجلبي ,غربي الحاج احمد,False,WSTUDY,حزب,غربي الحاج احمد,الفكر القومي ل ان الجريده كانت مؤيده ل حزب الاستقلال و ل كثره لقاءات ه مع اقطاب ه محمد صديق شنشل و حازم المفتي و ابراهيم وصفي رفيق و 
109,احمد سامي الجلبي ,محمد غانم,False,WSTUDY,حزب,,محمد صديق شنشل و حازم المفتي و ابراهيم وصفي رفيق و غربي الحاج احمد و عمل مع الشباب المؤاز ل حزب الاستقلال في تلك المرحله مثل تاجالدين العمري ، 
110,احمد سامي الجلبي ,عبدالغفار الصائغ,False,WSTUDY,حزب,,حازم المفتي و ابراهيم وصفي رفيق و غربي الحاج احمد و عمل مع الشباب المؤاز ل حزب الاستقلال في تلك المرحله مثل تاجالدين العمري ، محمد غانم العناز ، 
111,احمد سامي الجلبي ,فخري ابراهيم شنشل,False,WSTUDY,حزب,,ابراهيم وصفي رفيق و غربي الحاج احمد و عمل مع الشباب المؤاز ل حزب الاستقلال في تلك المرحله مثل تاجالدين العمري ، محمد غانم العناز ، عبدالغفار الصائغ ، 
112,احمد سامي الجلبي ,عبدالحميد التحافي,False,WSTUDY,حزب,عبدالحميد التحافي,غربي الحاج احمد و عمل مع الشباب المؤاز ل حزب الاستقلال في تلك المرحله مثل تاجالدين العمري ، محمد غانم العناز ، عبدالغفار الصائغ ، فخري ابراهيم شنشل ، 
113,احمد سامي الجلبي ,محمد صالح شاهين,False,WSTUDY,حزب,محمد صالح الخطيب ,و عمل مع الشباب المؤاز ل حزب الاستقلال في تلك المرحله مثل تاجالدين العمري ، محمد غانم العناز ، عبدالغفار الصائغ ، فخري ابراهيم شنشل ، عبدالحميد التحافي ، 
114,احمد سامي الجلبي ,عبدالرحيم الصائغ,False,WSTUDY,حزب,,ل حزب الاستقلال في تلك المرحله مثل تاجالدين العمري ، محمد غانم العناز ، عبدالغفار الصائغ ، فخري ابراهيم شنشل ، عبدالحميد التحافي ، محمد صالح شاهين ، و 
115,احمد سامي الجلبي ,محمد غانم,False,FRIENDSHIP,زميل,,و في مرحله الدراسه الاعداديه عمل مع زميل ه 
116,احمد سامي الجلبي ,محمد صديق شنشل,False,WSTUDY,مجله,محمد صديق شنشل,و تاجالدين العمري على فتح مكتبه الشباب القومي عام 1949 في منطقه الباب الجديد و اصدرت مجله ب اسم الابتكار ). و في بغداد عام 1950 ربطت ه ب 
117,احمد سامي الجلبي ,عبدالحميد التحافي,False,WSTUDY,حزب,عبدالحميد التحافي,صله بعدنان الراوي الذي انشق عن حزب الاستقلال و عمل مع ه في تنظيم ه السري و جمع الشباب حول ه عن طريق اليقظه العربيه المكتبه التي ادار ها 
118,احمد سامي الجلبي ,عبدالغفار الصائغ,False,WSTUDY,حزب,,الذي انشق عن حزب الاستقلال و عمل مع ه في تنظيم ه السري و جمع الشباب حول ه عن طريق اليقظه العربيه المكتبه التي ادار ها عبدالحميد التحافي و 
119,احمد سامي الجلبي ,احمد سامي الجلبي ,True,,,,و بعد ثوره 14 تموز 1958 اقيم احتفال قومي كبير في 24/11/1958 من قبل الشباب العربي في جامع النبي شيت ذكرى الانتصار على العدوان الثلاثي في مصر و القى 
120,احمد سامي الجلبي ,نجيب محمد علي,False,MISC,,,و بعد حركه الشواف عام 1959 كسبت ه حركه القوميين العرب في صفوف ها المتقدمه حيث عمل مع 
121,احمد سامي الجلبي ,حسين الفخري,False,MISC,,حسين قاسم الفخري,و بعد حركه الشواف عام 1959 كسبت ه حركه القوميين العرب في صفوف ها المتقدمه حيث عمل مع نجيب محمد علي و 
122,احمد سامي الجلبي ,يوسف ذنون,False,MISC,,يوسف ذنون,و بعد حركه الشواف عام 1959 كسبت ه حركه القوميين العرب في صفوف ها المتقدمه حيث عمل مع نجيب محمد علي و حسين الفخري و 
123,احمد سامي الجلبي ,سالم الحمداني,False,MISC,,سالم احمد الحمداني,و بعد حركه الشواف عام 1959 كسبت ه حركه القوميين العرب في صفوف ها المتقدمه حيث عمل مع نجيب محمد علي و حسين الفخري و يوسف ذنون و 
